name,price,ram,ram_unit,rom_type,rom,rom_unit,screen_size,screen_detail,cpu,gpu,battery,weight,rating,link_href,brand,series
Lenovo ThinkPad E14 Gen 6 Ultra 7 155U (21M7004UVN),25.990.000,16,GB,SSD,512,GB,14.0,WUXGA,"CPU: Ultra 7, 155U, 1.7GHz",Card: Intel Graphics,Pin: 47 Wh,1.44,5.0,https://www.thegioididong.com/laptop/lenovo-thinkpad-e14-ultra-7-21m7004uvn,LENOVO,ThinkPad
Lenovo Gaming Legion Slim 5 16AHP9 R7 8845HS (83DH003BVN),41.790.000,32,GB,SSD,1,TB,16.0,"WQXGA (2560 x 1600), 165Hz","CPU: Ryzen 7, 8845HS, 3.8GHz",Card: RTX 4060 8GB,Pin: 80 Wh,2.3,5.0,https://www.thegioididong.com/laptop/lenovo-legion-slim-5-16ahp9-r7-83dh003bvn,LENOVO,Legion Gaming
Lenovo V15 G5 IRL Core 5 120U (83HF0000VN),16.990.000,16,GB,SSD,512,GB,15.6,Full HD (1920 x 1080),"CPU: Core 5, 120U, 1.4GHz",Card: Intel Graphics,Pin: 47 Wh,1.61,5.0,https://www.thegioididong.com/laptop/lenovo-v15-g5-irl-core-5-83hf0000vn,LENOVO,V Series
Lenovo Yoga Pro 7 14IMH9 Ultra 7 155H (83E2005DVN),45.790.000,32,GB,SSD,1,TB,14.5,"2.8K (2880 x 1800) - OLED, 120Hz","CPU: Ultra 7, 155H",Card: RTX 4050 6GB,Pin: 73Wh,1.59,5.0,https://www.thegioididong.com/laptop/lenovo-yoga-pro-7-14imh9-ultra-7-83e2005dvn,LENOVO,Yoga
Lenovo ThinkBook 14 G6 i7 1355U (21KG00BQVN),20.090.000,16,GB,SSD,512,GB,14.0,WUXGA,"CPU: i7, 1355U, 1.7GHz",Card: Intel Iris Xe,Pin: 45Wh,1.38,,https://www.thegioididong.com/laptop/lenovo-thinkbook-14-g6-i7-21kg00bqvn,LENOVO,ThinkBook
Lenovo ThinkPad E14 Ultra 7 155H (21M70051VN),32.990.000,32,GB,SSD,1,TB,14.0,2.2K,"CPU: Ultra 7, 155H, 3.8GHz",Card: Intel Arc Graphics,Pin: 47 Wh,1.44,,https://www.thegioididong.com/laptop/lenovo-thinkpad-e14-ultra-7-21m70051vn,LENOVO,ThinkPad
Lenovo Gaming Legion Pro 5 16IRX9 i9 14900HX (83DF0046VN),54.790.000,32,GB,SSD,1,TB,16.0,"WQXGA (2560 x 1600), 240Hz","CPU: i9, 14900HX, 2.2GHz",Card: RTX 4070 8GB,Pin: 80 Wh,2.5,5.0,https://www.thegioididong.com/laptop/lenovo-legion-pro-5-16irx9-i9-83df0046vn,LENOVO,Legion Gaming
Lenovo Ideapad Slim 5 14IMH9 Ultra 7 155H (83DA001YVN),26.790.000,32,GB,SSD,512,GB,14.0,"WUXGA, OLED","CPU: Ultra 7, 155H, 3.8GHz",Card: Intel Arc Graphics,Pin: 57Wh,1.48,5.0,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-14imh9-ultra-7-83da001yvn,LENOVO,IdeaPad
Lenovo ThinkPad E16 Ultra 7 155H (21MA004PVN),32.490.000,32,GB,SSD,1,TB,16.0,WQXGA (2560 x 1600),"CPU: Ultra 7, 155H, 3.8GHz",Card: Intel Arc Graphics,Pin: 47 Wh,1.81,5.0,https://www.thegioididong.com/laptop/lenovo-thinkpad-e16-ultra-7-21ma004pvn,LENOVO,ThinkPad
Lenovo IdeaPad Slim 5 14Q8X9 X1P 42 100 (83HL000KVN),22.790.000,16,GB,SSD,512,GB,14.0,"WUXGA, OLED","CPU: Snapdragon X Plus, X1P 42 100",Card: Qualcomm Adreno GPU,Pin: 57Wh,1.48,,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-14q8x9-x1p-42-100-83hl000kvn,LENOVO,IdeaPad
